locationid,zone,borough,estimated_total_votes,trump,clinton,johnson,stein
233,UN/Turtle Bay South,Manhattan,7099,0.194180322376286,0.773644597167982,0.0212379750423051,0.0109371054134273
234,Union Sq,Manhattan,7970,0.0935961579992121,0.875909962708793,0.0196653323194195,0.0108285469725754
235,University Heights/Morris Heights,Bronx,14302,0.0432551450419183,0.946162268870105,0.00340763888897334,0.00717494719900293
236,Upper East Side North,Manhattan,19756,0.161193425072373,0.806696929813364,0.0255219402597663,0.00658770485449701
237,Upper East Side South,Manhattan,10035,0.20723908638539,0.762081322244157,0.0247594412556378,0.00592015011481596
238,Upper West Side North,Manhattan,28857,0.0795310041065164,0.893306595555176,0.0138802305994145,0.0132821697388936
239,Upper West Side South,Manhattan,23129,0.0792380433802656,0.892446001349285,0.0162987316315999,0.01201722363885
240,Van Cortlandt Park,Bronx,1493,0.223126273445248,0.744968670073351,0.0120881487729092,0.019816907708492
241,Van Cortlandt Village,Bronx,15458,0.0884878076690069,0.890264979131953,0.00719029140771061,0.0140569217913297
242,Van Nest/Morris Park,Bronx,6451,0.234021919841344,0.745355057133475,0.0101953551142432,0.0104276679109374
243,Washington Heights North,Manhattan,25654,0.0871548091838656,0.885569876615357,0.00848726394274204,0.0187880502580354
244,Washington Heights South,Manhattan,28475,0.0570504888471789,0.919637347895389,0.00683914003860392,0.0164730232188281
245,West Brighton,Staten Island,7368,0.468817235052857,0.500786208297038,0.0168947082584192,0.0135018483916862
246,West Chelsea/Hudson Yards,Manhattan,4946,0.096287645718171,0.875460363981564,0.0151182448499826,0.0131337454502827
247,West Concourse,Bronx,9935,0.0469940569426406,0.942106972963422,0.00311692443519905,0.00778204565873832
248,West Farms/Bronx River,Bronx,8118,0.0652652543197626,0.92262398961397,0.00300836418569571,0.00910239188057221
249,West Village,Manhattan,10883,0.0794206943045034,0.887329766357501,0.0172577160250809,0.0159918233129143
250,Westchester Village/Unionport,Bronx,7522,0.0975240993516372,0.885078385202344,0.00556745074422428,0.0118300647017946
251,Westerleigh,Staten Island,11814,0.593129388609222,0.380519689550018,0.0165562590252021,0.00979466281555731
252,Whitestone,Queens,11565,0.514773313835536,0.461398697900613,0.0141425707912603,0.00968541747259043
254,Williamsbridge/Olinville,Bronx,17613,0.0331550570828397,0.957047045351205,0.00280263220947765,0.0069952653564781
255,Williamsburg (North Side),Brooklyn,8184,0.0626622645267651,0.90447583478518,0.0153553462531391,0.0175065544349157
256,Williamsburg (South Side),Brooklyn,11651,0.0710077707771403,0.902602092671047,0.00849412902408827,0.0178960075277247
257,Windsor Terrace,Brooklyn,10374,0.122912307652546,0.843632907406333,0.0105122139408072,0.0229425710003136
258,Woodhaven,Queens,15273,0.190559554405161,0.784703992323867,0.00959770983650912,0.0151387434344627
259,Woodlawn/Wakefield,Bronx,12999,0.116305828510674,0.866985101914613,0.00695642117010076,0.00975264840461175
260,Woodside,Queens,13973,0.214426441357855,0.756622365899891,0.0118228968059768,0.0171282959362769
261,World Trade Center,Manhattan,2123,0.1195048629939,0.836345639123852,0.0357692641232549,0.00838023375899267
262,Yorkville East,Manhattan,17209,0.150406718798602,0.819189234201731,0.0210326788776732,0.00937136812199448
263,Yorkville West,Manhattan,19593,0.14943298870848,0.817351649863144,0.0213373253854889,0.0118780360428869
