car_type,pickup_hour,trips
uber,2016-12-28T10:00:00Z,215
uber,2016-12-28T11:00:00Z,350
uber,2016-12-28T12:00:00Z,189
uber,2016-12-28T13:00:00Z,200
uber,2016-12-28T14:00:00Z,102
uber,2016-12-28T15:00:00Z,191
uber,2016-12-28T16:00:00Z,136
uber,2016-12-28T17:00:00Z,184
uber,2016-12-28T18:00:00Z,275
uber,2016-12-28T19:00:00Z,338
uber,2016-12-28T20:00:00Z,395
uber,2016-12-28T21:00:00Z,280
uber,2016-12-28T22:00:00Z,329
uber,2016-12-28T23:00:00Z,282
uber,2016-12-29T00:00:00Z,313
uber,2016-12-29T01:00:00Z,346
uber,2016-12-29T02:00:00Z,430
uber,2016-12-29T03:00:00Z,427
uber,2016-12-29T04:00:00Z,436
uber,2016-12-29T05:00:00Z,247
uber,2016-12-29T06:00:00Z,169
uber,2016-12-29T07:00:00Z,37
uber,2016-12-29T08:00:00Z,16
uber,2016-12-29T09:00:00Z,26
uber,2016-12-29T10:00:00Z,222
uber,2016-12-29T11:00:00Z,369
uber,2016-12-29T12:00:00Z,166
uber,2016-12-29T13:00:00Z,187
uber,2016-12-29T14:00:00Z,156
uber,2016-12-29T15:00:00Z,196
uber,2016-12-29T16:00:00Z,165
uber,2016-12-29T17:00:00Z,179
uber,2016-12-29T18:00:00Z,248
uber,2016-12-29T19:00:00Z,276
uber,2016-12-29T20:00:00Z,377
uber,2016-12-29T21:00:00Z,359
uber,2016-12-29T22:00:00Z,377
uber,2016-12-29T23:00:00Z,239
uber,2016-12-30T00:00:00Z,294
uber,2016-12-30T01:00:00Z,383
uber,2016-12-30T02:00:00Z,431
uber,2016-12-30T03:00:00Z,480
