base_number,base_name,dba,dba_category
B02288,SAFARI TRANSPORTATION INC.,,other
B02292,AGUILA CAR & LIMO CORPORATION,,other
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,,other
B02298,NYG LIMOUSINE LLC,,other
B02301,DOUBLE A CAR SERVICE INC.,UNITED CARS,other
B02303,MINEOLA TRANSPORTATION INC.,,other
B02306,ACCUELIMO LUXURY LLC,,other
B02308,NORWOOD CAR & LIMO INC.,,other
B02315,LA MORENITA CAR LIMO SERVICE INC,,other
B02316,"AJAY CAR SERVICE, LLC.",,other
B02320,"SWIFT 75 CAR & LIMO SVC., INC.",UPPER CAR SERVICE,other
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,other
B02331,CHICO EXPRESS SERVICE CORP,,other
B02334,"GROUND TRAVEL SERVICES II, LTD.",GTS,other
B02335,ROCHDALE CAR SERVICE INC.,,other
B02338,DESTINY CAR & LIMO SERVICE INC.,,other
B02339,SEDANZ INC.,,other
B02341,TIMES TRANSPORTATION INC,,other
B02342,"QUEST INTERNATIONAL LIMOUSINE, INC.",,other
B02345,WESTCHESTER ACQUISITION CORP.,FLYTE LINE TRANSPORTATION,other
B02346,PIA CAR LIMO. INC.,,other
